ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-23,5865.125239205235,267.78454720386253,12047.20994027578,5865.125239205235,5865.125239205235,55.782772118360434,55.782772118360434,55.782772118360434,55.782772118360434,55.782772118360434,55.782772118360434,0.0,0.0,0.0,5920.908011323595
2023-12-25,5864.586445524965,-923.6846661943739,11847.823306531474,5864.586445524965,5864.586445524965,-83.11677715192049,-83.11677715192049,-83.11677715192049,-83.11677715192049,-83.11677715192049,-83.11677715192049,0.0,0.0,0.0,5781.469668373044
2023-12-26,5864.31704868483,-1166.6871656767482,11432.20092602495,5864.31704868483,5864.31704868483,-604.2459510545549,-604.2459510545549,-604.2459510545549,-604.2459510545549,-604.2459510545549,-604.2459510545549,0.0,0.0,0.0,5260.071097630275
2023-12-28,5863.77825500456,-432.4611426285237,12005.966731549794,5863.77825500456,5863.77825500456,42.12684976855752,42.12684976855752,42.12684976855752,42.12684976855752,42.12684976855752,42.12684976855752,0.0,0.0,0.0,5905.905104773118
2023-12-29,5863.508858164426,-32.84066241564908,12542.269106103458,5863.508858164426,5863.508858164426,147.329998962916,147.329998962916,147.329998962916,147.329998962916,147.329998962916,147.329998962916,0.0,0.0,0.0,6010.838857127342
2023-12-30,5863.239461324291,-605.9225897952223,11989.260406065125,5863.239461324291,5863.239461324291,55.78277211890739,55.78277211890739,55.78277211890739,55.78277211890739,55.78277211890739,55.78277211890739,0.0,0.0,0.0,5919.022233443199
2024-01-01,5862.700667644021,-630.0158382869687,11424.350993817943,5862.700667644021,5862.700667644021,-83.11677715233593,-83.11677715233593,-83.11677715233593,-83.11677715233593,-83.11677715233593,-83.11677715233593,0.0,0.0,0.0,5779.583890491685
2024-01-02,5862.431270803887,-685.4754009505608,11355.368121213096,5862.431270803887,5862.431270803887,-604.2459510543808,-604.2459510543808,-604.2459510543808,-604.2459510543808,-604.2459510543808,-604.2459510543808,0.0,0.0,0.0,5258.185319749506
2024-01-03,5862.161873963752,-594.5206150669791,12317.811411746708,5862.161873963752,5862.161873963752,-199.9511142098166,-199.9511142098166,-199.9511142098166,-199.9511142098166,-199.9511142098166,-199.9511142098166,0.0,0.0,0.0,5662.210759753936
2024-01-04,5861.892477123617,-147.65511625178323,12002.079892647447,5861.892477123617,5861.892477123617,42.12684976843359,42.12684976843359,42.12684976843359,42.12684976843359,42.12684976843359,42.12684976843359,0.0,0.0,0.0,5904.01932689205
2024-01-05,5861.6230802834825,173.48209493082715,12324.23074823265,5861.6230802834825,5861.6230802834825,147.32999896367667,147.32999896367667,147.32999896367667,147.32999896367667,147.32999896367667,147.32999896367667,0.0,0.0,0.0,6008.95307924716
2024-01-06,5861.353683443348,-20.297994546379552,12160.743530736969,5861.353683443348,5861.353683443348,55.78277211911513,55.78277211911513,55.78277211911513,55.78277211911513,55.78277211911513,55.78277211911513,0.0,0.0,0.0,5917.136455562463
2024-01-07,5861.084286603213,273.489234235625,12955.189864602919,5861.084286603213,5861.084286603213,642.0742215632166,642.0742215632166,642.0742215632166,642.0742215632166,642.0742215632166,642.0742215632166,0.0,0.0,0.0,6503.158508166429
2024-01-08,5860.814889763078,-809.6120095034595,11934.400465067127,5860.814889763078,5860.814889763078,-83.11677714930768,-83.11677714930768,-83.11677714930768,-83.11677714930768,-83.11677714930768,-83.11677714930768,0.0,0.0,0.0,5777.698112613771
2024-01-09,5860.545492922944,-1180.0536803468606,11603.927497252846,5860.545492922944,5860.545492922944,-604.2459510547131,-604.2459510547131,-604.2459510547131,-604.2459510547131,-604.2459510547131,-604.2459510547131,0.0,0.0,0.0,5256.29954186823
2024-01-10,5860.276096082809,-906.6460778580695,11975.3371797284,5860.276096082809,5860.276096082809,-199.9511142081509,-199.9511142081509,-199.9511142081509,-199.9511142081509,-199.9511142081509,-199.9511142081509,0.0,0.0,0.0,5660.324981874658
2024-01-11,5860.006699242674,-821.9727561739453,12253.845059901056,5860.006699242674,5860.006699242674,42.126849769019934,42.126849769019934,42.126849769019934,42.126849769019934,42.126849769019934,42.126849769019934,0.0,0.0,0.0,5902.1335490116935
2024-01-12,5859.737302402539,-298.4604393469761,12231.287282583853,5859.737302402539,5859.737302402539,147.3299989633579,147.3299989633579,147.3299989633579,147.3299989633579,147.3299989633579,147.3299989633579,0.0,0.0,0.0,6007.067301365897
2024-01-13,5859.467905562405,-206.85884571795688,12316.786460004798,5859.467905562405,5859.467905562405,55.78277211762686,55.78277211762686,55.78277211762686,55.78277211762686,55.78277211762686,55.78277211762686,0.0,0.0,0.0,5915.250677680032
2024-01-14,5859.198525605788,177.56838540764548,12415.846773729463,5859.198525605788,5859.198525605788,642.0742215636491,642.0742215636491,642.0742215636491,642.0742215636491,642.0742215636491,642.0742215636491,0.0,0.0,0.0,6501.272747169437
2024-01-15,5858.929145649171,-421.4848996279932,12197.400671727237,5858.929145649171,5858.929145649171,-83.11677714972312,-83.11677714972312,-83.11677714972312,-83.11677714972312,-83.11677714972312,-83.11677714972312,0.0,0.0,0.0,5775.812368499448
2024-01-16,5858.659765692554,-949.3435430657039,11331.906396040726,5858.659765692554,5858.659765692554,-604.2459510550451,-604.2459510550451,-604.2459510550451,-604.2459510550451,-604.2459510550451,-604.2459510550451,0.0,0.0,0.0,5254.413814637509
2024-01-17,5858.390385735937,-854.4516857388136,12255.565377164417,5858.390385735937,5858.390385735937,-199.9511142084447,-199.9511142084447,-199.9511142084447,-199.9511142084447,-199.9511142084447,-199.9511142084447,0.0,0.0,0.0,5658.439271527493
2024-01-18,5858.1210057793205,-452.4799852234178,12167.60269049821,5858.1210057793205,5858.1210057793205,42.12684976889604,42.12684976889604,42.12684976889604,42.12684976889604,42.12684976889604,42.12684976889604,0.0,0.0,0.0,5900.247855548217
2024-01-19,5857.851625822704,-3.132789566864183,12150.898073061084,5857.851625822704,5857.851625822704,147.32999896303915,147.32999896303915,147.32999896303915,147.32999896303915,147.32999896303915,147.32999896303915,0.0,0.0,0.0,6005.181624785743
2024-01-20,5857.582245866087,-424.8855112906927,11834.089617915986,5857.582245866087,5857.582245866087,55.78277211800428,55.78277211800428,55.78277211800428,55.78277211800428,55.78277211800428,55.78277211800428,0.0,0.0,0.0,5913.3650179840915
2024-01-22,5857.043485952853,-856.9319719737124,11962.437599422883,5857.043485952853,5857.043485952853,-83.1167771501386,-83.1167771501386,-83.1167771501386,-83.1167771501386,-83.1167771501386,-83.1167771501386,0.0,0.0,0.0,5773.9267088027145
2024-01-23,5856.774105996236,-1305.3978458190986,11336.4269401075,5856.774105996236,5856.774105996236,-604.2459510543221,-604.2459510543221,-604.2459510543221,-604.2459510543221,-604.2459510543221,-604.2459510543221,0.0,0.0,0.0,5252.528154941914
2024-01-24,5856.50472603962,-651.1214547489989,11408.000678649547,5856.50472603962,5856.50472603962,-199.9511142103082,-199.9511142103082,-199.9511142103082,-199.9511142103082,-199.9511142103082,-199.9511142103082,0.0,0.0,0.0,5656.553611829312
2024-01-25,5856.235346083004,178.30127877591747,12392.02636183145,5856.235346083004,5856.235346083004,42.126849769482355,42.126849769482355,42.126849769482355,42.126849769482355,42.126849769482355,42.126849769482355,0.0,0.0,0.0,5898.362195852486
2024-01-27,5855.696586169769,-409.30974024239373,12359.552026200581,5855.696586169769,5855.696586169769,55.78277211838162,55.78277211838162,55.78277211838162,55.78277211838162,55.78277211838162,55.78277211838162,0.0,0.0,0.0,5911.47935828815
2024-01-28,5855.427206213152,415.5203258914361,12441.652311660462,5855.427206213152,5855.427206213152,642.0742215633029,642.0742215633029,642.0742215633029,642.0742215633029,642.0742215633029,642.0742215633029,0.0,0.0,0.0,6497.501427776455
2024-01-29,5855.157826256535,-767.4869230162346,11486.574247621957,5855.157826256535,5855.157826256535,-83.11677714711034,-83.11677714711034,-83.11677714711034,-83.11677714711034,-83.11677714711034,-83.11677714711034,0.0,0.0,0.0,5772.041049109425
2024-01-30,5854.8884462999185,-346.7687237960035,11786.389595512896,5854.8884462999185,5854.8884462999185,-604.2459510535989,-604.2459510535989,-604.2459510535989,-604.2459510535989,-604.2459510535989,-604.2459510535989,0.0,0.0,0.0,5250.642495246319
2024-01-31,5854.619066343302,-761.0771244108629,11568.299969702059,5854.619066343302,5854.619066343302,-199.95111420962223,-199.95111420962223,-199.95111420962223,-199.95111420962223,-199.95111420962223,-199.95111420962223,0.0,0.0,0.0,5654.667952133679
2024-02-01,5854.349686386685,-304.4621768048397,11876.823359567132,5854.349686386685,5854.349686386685,42.12684976772997,42.12684976772997,42.12684976772997,42.12684976772997,42.12684976772997,42.12684976772997,0.0,0.0,0.0,5896.476536154415
